entry_date,entry_price,size,exit_date,exit_price,exit_reason,pnl,return_pct
2025-11-03,577423.3590448943,43.088296714656465,2025-11-05,531007.0429569181,Stop Loss,-2071640.567073498,-8.313995357494743
2025-11-11,622300.9209677419,36.00187278596031,2025-11-14,567899.1069203817,Stop Loss,-2022841.333649341,-9.015406816765095
2025-12-23,591808.8226149915,36.160697097662705,2026-03-04,876236.3299715909,10D Low Break,10205468.63563266,47.61719067979545
